,Host,Dokumente,Land,Date
1785,Indiana Univ.: Digital Library of the Commons (DLC),7919,us,2008-01-07
1786,Ball State University: Digital Media Repository,334523,us,2008-01-02
1787,Waterford Institute of Technology: WIT Institutional Repository,725,ie,2007-11-26
1788,"New Bulgarian Univ., Sofia: Scholar Electronic Repository / Нов български университет",728,bg,2007-11-26
1789,Natural Environment Research Council: NERC Open Research Archive,15622,uk,2007-11-26
1790,The State University of New York: DSpace at SUNY,33694,us,2007-11-14
1791,"Central European University, Budapest: Research Support Scheme",164,hu,2007-11-14
1792,National Agricultural Library (U.S. Dept. of Agriculture): Digital Documents Repository,47957,us,2007-11-09
1793,Association for the Scientific Studies of Consciousness: ASSC publications,259,us,2007-11-09
1794,American Museum of Natural History: AMNH scientific publications,5851,us,2007-11-09
1795,University of Pittsburgh: The Aphasiology Archive,1680,us,2007-11-08
1796,Sheffield Hallam Univ. Research Archive,984,uk,2007-11-08
1797,Council for Scientific and Industrial Research (South Africa): CSIR Research Space,4914,za,2007-11-08
1798,CogPrints: Cognitive Sciences EPrint Archive,214,uk,2007-11-08
1799,Universidad Politécnica de Madrid: Archivo Digital de la UPM,8660,es,2007-11-06
1800,Special Collections at Cleveland State Univ.,42866,us,2007-11-06
1801,"Universidad Rey Juan Carlos, Madrid: Archivo Abierto Institucional",984,es,2007-11-05
1802,Inst. de recherche pour le développement (IRD): Ressources documentaires,42383,fr,2007-11-05
1803,Imperial College London: Spir@l - Imperial College Digital Repository,7882,uk,2007-11-05
1804,AN - Arquivística.net (E-Journal),73,pt,2007-10-22
1805,JCAL - Journal of Cognitive Affective Learning (E-Journal),44,us,2007-10-17
1806,CIEJ - The Journal of Community Informatics (E-Journal),276,us,2007-10-17
1807,"University of Wisconsin, Milwaukee: UWM Libraries Digital Collections",47095,us,2007-10-16
1808,Univ. of Washington Libraries (Seattle): Digital Collections,118859,us,2007-10-16
1809,Univ. of Huddersfield Repository,12282,uk,2007-10-16
1810,"Santa Clara Univ. Archives, Silicon Valley: Clara Vision",4279,us,2007-10-15
1811,Laurentian Univ. / Univ. Laurentienne: LU|ZONE|UL,1741,ca,2007-10-15
1812,Washington State Univ.: WSU Libraries Digital Collections,81846,us,2007-10-11
1813,Technische Fachhochschule (TFH) Wildau: OPUS-Dokumentenserver,130,de,2007-09-25
1814,Konrad-Zuse-Zentrum für Informationstechnik Berlin: OPUS-Dokumentenserver,1198,de,2007-09-25
1815,"Hochschule für Film und Fernsehen (HFF) Konrad Wolf, Potsdam-Babelsberg: Digitales Archiv",96,de,2007-09-25
1816,Fachhochschule Potsdam: Publikationsserver,210,de,2007-09-25
1817,Fachhochschule für Technik und Wirtschaft Berlin (FHTW): e-Publikationsserver,46,de,2007-09-25
1818,Fachhochschule Brandenburg: Publikationsserver,40,de,2007-09-25
1819,Europa-Universität Viadrina Frankfurt (Oder): Elektronische Hochschulschriften,55,de,2007-09-25
1820,University of Illinois at Urbana-Champaign: IDEALS (Illinois Digital Environment for Access to Learning and Scholarship),28799,us,2007-09-24
1821,"Brandenburgische Technische Univ., Cottbus: OPUS",2407,de,2007-09-24
1822,Univ. de las Américas Puebla (UDLA): Colección de Tesis digitales,1637,mx,2007-09-18
1823,"Studies in Learning, Evaluation, Innovation and Development (E-Journal)",147,au,2007-09-18
1824,OPUS - Hochschulschriftenserver der HVF (Hochschule für Verwaltung und Finanzen Ludwigsburg),286,de,2007-09-18
1825,JeLit - Journal of eLiteracy (E-Journal),31,uk,2007-09-18
1826,IODE-UNESCO: OceanDocs - E-Repository of Ocean Publications,3824,org,2007-09-18
1827,Revista Digital de Biblioteconomia e Ciencia da Informação (E-Journal),152,br,2007-09-14
